names,scores,logfoldchanges,pvals,pvals_adj
Igkc,53.418453,111.909515,0.0,0.0
Igha,50.01456,40.441418,0.0,0.0
Thbs1,48.077583,55.149883,0.0,0.0
Ptgs2,42.346188,46.75933,0.0,0.0
Clec4e,41.804585,13.804843,0.0,0.0
Il1b,39.199554,65.43759,0.0,0.0
Saa3,35.09844,30.519333,7.121321288425377e-270,2.2963680966299225e-267
Slc7a11,34.795765,9.408596,2.8189036807854677e-265,8.362747586330221e-263
Cd24a,34.215126,6.0300393,1.4406687800800543e-256,3.957392636639655e-254
Jchain,33.519165,17.816334,2.5342846092868627e-246,6.71283720912294e-244
Cytip,31.407356,5.8109894,1.605671906472744e-216,3.2478363562744145e-214
Slpi,31.309801,8.792121,3.4322533581556353e-215,6.818539037407401e-213
Lmnb1,31.272022,5.433529,1.1207519954036935e-214,2.187432622608086e-212
Clec4d,31.254732,6.2893496,1.9252829019035854e-214,3.6928917730478257e-212
Tgm2,31.191296,4.9949827,1.3982644135838273e-213,2.659092581388048e-211
Gadd45a,30.756731,5.3123274,9.939255803959824e-208,1.7551463622071912e-205
Ifitm1,30.166943,13.402922,6.431145841875763e-200,1.0678581715054904e-197
Plac8,29.919195,10.563648,1.1075691177494564e-196,1.7987892605784968e-194
Ell2,29.810064,3.95773,2.8932462881211784e-195,4.664835500775089e-193
Slc16a3,29.765667,5.7984176,1.0873510922012583e-194,1.7281115572484283e-192
Acod1,29.424421,11.378272,2.6753906017535904e-190,4.1053407509667164e-188
Fn1,28.710829,12.697264,2.794853530931013e-181,3.935790573621205e-179
Malt1,28.038845,6.243514,5.463936386039826e-173,7.323649674059406e-171
Plaur,27.701372,3.9506242,6.721350760183496e-169,8.49716218261834e-167
Col3a1,26.148367,3.216683,1.0285961090648347e-150,1.049828597554705e-148
Cd79a,25.98358,8.382456,7.593003506434149e-149,7.542157500810706e-147
Il1r2,25.608072,6.8128457,1.2402716609875165e-144,1.1894846748694932e-142
Scd1,25.137455,5.6277285,1.9382690934554342e-139,1.789480802049104e-137
Pde4b,25.001423,4.228481,5.89927664205493e-138,5.3794633313820574e-136
Sorl1,24.97202,3.4754486,1.2313756155251189e-137,1.1182900998136283e-135
Ebf1,24.962927,8.51149,1.5457763320104522e-137,1.3981107067980715e-135
Trem1,24.875832,6.9883327,1.3590362961391286e-136,1.2192966769796618e-134
Sell,24.806309,5.290222,7.664392370861591e-136,6.794132679349418e-134
Btg1,24.644606,20.365866,4.2042582267763936e-134,3.6684213939519514e-132
S100a9,24.582163,25.411669,1.960119099214749e-133,1.6969902707209402e-131
B3gnt5,24.415527,4.9956803,1.1699778501602734e-131,9.898101584055545e-130
Il1rn,24.192858,5.847781,2.6452445480672197e-129,2.2126575637028435e-127
Gsr,23.89504,4.2337193,3.448770653408554e-126,2.7702219147415277e-124
Bhlhe40,23.852045,2.766029,9.643343411291419e-126,7.581780597216752e-124
Ms4a1,23.79094,7.9915752,4.144864682078511e-125,3.224588782386254e-123
Cd300lf,23.602283,5.1470246,3.6516253405843995e-123,2.782488487260373e-121
Mcemp1,23.122177,4.654686,2.7705596925231817e-118,1.9821528346829836e-116
Hdc,22.783415,7.6482463,6.696179151854645e-115,4.655937066523932e-113
Napsa,22.467241,3.2619288,8.681989351979605e-112,5.836080455635838e-110
Srgn,22.4615,14.6442585,9.879410292124185e-112,6.620990331318167e-110
Smim3,22.411814,2.935937,3.0189206021827035e-111,1.9932042551503013e-109
Tspan13,22.313473,2.8096287,2.734225531691631e-110,1.794587553986395e-108
Rab11fip1,22.058176,3.276407,7.97328354372982e-108,5.068730252799672e-106
Pax5,21.826683,6.4136086,1.2948463261234973e-105,8.115586128520512e-104
Serpinb2,21.696426,8.799109,2.2174112576197684e-104,1.370483346723329e-102
Nlrp3,21.27644,5.5827045,1.8766012631063467e-100,1.084529301405616e-98
Hif1a,21.166716,4.410744,1.9358448706662686e-99,1.0987894992939918e-97
Hp,21.020924,5.5566587,4.221407285971574e-98,2.377881319313102e-96
Vegfa,20.818785,5.549008,2.9250753723937493e-96,1.6189782844716647e-94
Cd19,20.764807,6.0316014,9.00900104634716e-96,4.961640427753077e-94
Tnfaip2,20.747,5.107277,1.3048491701543968e-95,7.133389198018509e-94
S100a8,20.730772,18.16303,1.8283102397885557e-95,9.970564420415532e-94
Iglc2,20.644754,11.584107,1.0881498681834929e-94,5.806075435751252e-93
Gm8369,20.539198,5.048754,9.61388953325057e-94,5.033153932113533e-92
Ly6d,20.424885,5.7055774,1.0049498654518342e-92,5.212152565571867e-91
Cd274,20.416697,3.157995,1.1883533754718906e-92,6.120570047279992e-91
Dusp5,20.37715,2.266401,2.6674253837623582e-92,1.3706747064367774e-90
Pgk1,20.30622,3.3560119,1.1329653039997913e-91,5.768530437985207e-90
Rnf149,20.157246,3.081944,2.3246535316593308e-90,1.1702158615253418e-88
F10,19.894003,5.7231083,4.5864580032242357e-88,2.2727993445821656e-86
Mefv,19.653656,4.987318,5.379457229141183e-86,2.607688961838591e-84
Ccr7,19.5958,5.2539077,1.679253556992818e-85,8.069847007146912e-84
Lrg1,19.546858,5.258977,4.387276556672177e-85,2.0902977170440244e-83
Msrb1,19.508484,3.1646469,9.299870893351882e-85,4.411985658359901e-83
Arg2,19.340586,7.1267114,2.4467605235725543e-83,1.1413086299683298e-81
Pou2af1,19.263586,8.017419,1.0859295423820986e-82,5.033735899583686e-81
H2-DMb2,19.196167,4.1135874,3.984346250047141e-82,1.8241091371100594e-80
Bcl2l11,19.06551,2.9049933,4.884869539905554e-81,2.2091127492459058e-79
Helz2,19.025738,3.4693527,1.0440921152289018e-80,4.7026416121139806e-79
Gk,18.988426,3.574973,2.126050198043966e-80,9.518031570719968e-79
Uck2,18.960436,4.5966406,3.621269414263701e-80,1.6146942779031535e-78
Basp1,18.896212,4.114896,1.2254039179527513e-79,5.377758811528347e-78
Fam107b,18.880379,2.4034932,1.6539609869860988e-79,7.2442188898505305e-78
Gpr35,18.845068,3.4924212,3.225457254297879e-79,1.40718478251231e-77
Dusp2,18.808786,2.4597337,6.398616715706943e-79,2.7752284975532066e-77
Bcl11a,18.786474,4.772924,9.744199800183131e-79,4.209872729205333e-77
Fgr,18.76644,3.1505208,1.420966240285427e-78,6.127228458595107e-77
Adam8,18.609814,2.669406,2.6754169031756735e-77,1.1274247366602033e-75
Olr1,18.466444,6.433703,3.8460435661544126e-76,1.5935655371868842e-74
Dennd4a,18.320368,2.5322871,5.692707053660808e-75,2.307153587321548e-73
H2-Ob,17.982315,3.533069,2.680580048089132e-72,1.0354671192705415e-70
Satb1,17.956871,3.7898128,4.2404109593647284e-72,1.6323381288211974e-70
Arhgap24,17.946455,4.816558,5.115383434385385e-72,1.965756155700774e-70
Mpp7,17.932615,2.557135,6.56200937766751e-72,2.5086719699845722e-70
Cd69,17.471102,2.252554,2.3785324135597008e-68,8.647442189820808e-67
C3,17.436323,1.8439792,4.373132565145611e-68,1.5770210627956214e-66
Iglc3,17.404284,6.66135,7.65567763751839e-68,2.751838892322846e-66
Ezr,17.373356,2.3342223,1.3131733422045786e-67,4.689904793587781e-66
Vpreb3,17.367125,7.669207,1.4637745134761731e-67,5.219388289237957e-66
Il1a,17.352781,4.0051327,1.8791863599414383e-67,6.68990344139152e-66
Mzb1,17.336866,8.048517,2.4789044905464534e-67,8.796750385113012e-66
Mgp,17.311235,2.8568065,3.870206956213943e-67,1.3690318724286205e-65
Siglecg,17.269068,3.78212,8.04310557054248e-67,2.8361188422277366e-65
Ablim1,17.205091,3.014633,2.4319022685511506e-66,8.467891310682801e-65
Plek,17.118286,12.31971,1.0841927825657428e-65,3.734255326948572e-64
Gm10076,16.69305,3.8586159,1.4725029225376261e-62,4.769023293517057e-61
Pim1,16.67025,8.84287,2.15694050949551e-62,6.965446492928171e-61
Sgms2,16.60159,4.0063734,6.787053852760011e-62,2.1791045919756168e-60
Tnfrsf13c,16.481537,5.72596,4.980286944503997e-61,1.5830197787887703e-59
Nr4a3,16.45454,1.9049137,7.781058791580013e-61,2.4627106417162916e-59
Spata13,16.412415,2.7038994,1.558825185497082e-60,4.878180081196916e-59
Fcmr,16.382769,5.153373,2.5391884887016734e-60,7.92383504538741e-59
Ly6a,16.302027,2.8451102,9.547188559306947e-60,2.9626910103846527e-58
Samsn1,16.269415,1.8076867,1.6270426149793338e-59,5.0280136365680795e-58
Spib,16.101063,6.01372,2.507629845434211e-58,7.632662662231354e-57
Ighd,16.076294,4.2681675,3.7409870542060775e-58,1.1340185552600166e-56
Cxcl3,16.060316,5.8706026,4.8408132539554605e-58,1.4634252024525679e-56
Mxd1,16.030981,3.4922545,7.764788774179495e-58,2.334683111155321e-56
Cr2,15.972745,6.090763,1.9788303977318095e-57,5.894106606363154e-56
P2ry10,15.869644,2.2375617,1.0282274819713464e-56,3.0182139147575798e-55
Pygl,15.840419,2.606665,1.637262369668213e-56,4.79330101646286e-55
Sema4d,15.839198,1.8402982,1.6693675339041988e-56,4.880870910560897e-55
Ets1,15.830726,3.1456587,1.91005490758943e-56,5.577260064811656e-55
Man2a1,15.709653,2.8773072,1.2988916883504959e-55,3.7435673660360794e-54
F5,15.5975685,2.7332873,7.561940191844834e-55,2.137905581557148e-53
Slc38a1,15.470259,2.3217485,5.508515904992115e-54,1.533973452892047e-52
Slc2a1,15.450789,2.724915,7.452514266277536e-54,2.067561626242833e-52
Mirt1,15.425401,4.5577645,1.1046774053935865e-53,3.057098541045684e-52
Fcrla,15.363639,4.463912,2.8700121830870965e-53,7.854584387907489e-52
Chd7,15.324148,2.0400057,5.274112459566373e-53,1.4363402965159338e-51
Cd79b,15.29333,4.9909406,8.470582676274607e-53,2.3012266733468864e-51
Noct,15.21866,1.9173008,2.6592001526440515e-52,7.128578722449416e-51
Gcnt2,15.149814,2.8011622,7.598149139866135e-52,2.0126049805002564e-50
Mif,15.058,2.4335666,3.0590216173336814e-51,8.016870551905113e-50
Hvcn1,15.023477,2.9431334,5.153248979246725e-51,1.3473535815304303e-49
Iglc1,15.007905,10.027289,6.5173673884163e-51,1.7000166986197267e-49
