names,scores,logfoldchanges,pvals,pvals_adj
Marco,28.873295,39.786472,2.5846163860196946e-183,5.75077145889382e-179
Saa3,20.46018,188.48889,4.875810265425872e-93,5.4243389202862816e-89
Fn1,19.076778,66.57906,3.937994955737094e-81,2.9206795921716785e-77
Man2a1,17.593979,8.659771,2.739499199459381e-69,1.5238464296992804e-65
Thbs1,17.475727,55.91525,2.1932833226825584e-68,9.760110785937384e-65
Serpinb2,17.13861,29.436785,7.645553609285255e-66,2.8352261301099492e-62
Cxcl13,16.41976,28.852259,1.381119855880411e-60,4.3899881133341635e-57
Prg4,16.327032,22.357298,6.339435580352294e-60,1.7631555207854815e-56
Slc7a2,16.050274,8.237768,5.691172633928963e-58,1.406984345610216e-54
Il1a,15.5119095,8.938733,2.8817756155772997e-54,6.411950744659492e-51
Itgam,14.99647,10.603832,7.742822805841048e-51,1.5661618857269392e-47
Itga6,14.910396,6.4550533,2.8207467046768455e-50,5.230134514921652e-47
Serpine1,14.57913,11.03392,3.8134291893272074e-48,6.52683072788695e-45
Fabp4,14.532895,5.7997055,7.498360944025853e-48,1.1917037928898231e-44
Arg1,14.4632845,10.07665,2.0669427142725614e-47,3.065965026170966e-44
Flnb,14.456407,5.095586,2.2841444643452654e-47,3.1763883957301343e-44
Tgfb2,14.209245,7.5855246,8.028725835832118e-46,1.0508185285133212e-42
C4b,14.173766,9.33283,1.3316365804647488e-45,1.6460507730744813e-42
Ctsd,14.104652,20.651985,3.555354630516784e-45,4.163507396263076e-42
Plxdc2,14.002931,5.2633476,1.4957306627638704e-44,1.6640003623248058e-41
Olr1,13.938595,6.0507116,3.691351555937136e-44,3.911074862838156e-41
Gadd45a,13.869209,6.682755,9.734390724167429e-44,9.845008800578423e-41
Clec4d,13.7792225,4.657901,3.399122625428534e-43,3.2882816702515165e-40
Gm12840,13.518738,4.945182,1.2123830429366005e-41,1.1239801127224735e-38
Ltbp1,13.503267,6.8995323,1.4959261062961418e-41,1.331374234603566e-38
Plek,13.466619,23.967838,2.4587186972888414e-41,2.104095808256797e-38
Msr1,13.328632,4.283871,1.5776339293706038e-40,1.3000872195739234e-37
Cxcl2,13.318292,97.990456,1.8120619802577913e-40,1.4399421093119948e-37
F10,13.252176,4.7786307,4.383044266458991e-40,3.362852928576295e-37
Ecm1,13.188354,8.142809,1.0239678691501816e-39,7.594428362863847e-37
Nlrp3,12.817618,6.4011416,1.3065291642136252e-37,9.377507710888117e-35
Alox15,12.715415,9.998535,4.855241888873153e-37,3.375910375857114e-34
Smpdl3a,12.676955,4.5269184,7.935539480379986e-37,5.350477376922869e-34
Clec4e,12.584371,3.5894756,2.5738469000862328e-36,1.6843556919681964e-33
Igha,12.41865,40.14546,2.0702522486375604e-35,1.3160889294910204e-32
Ptgs2,12.3939295,27.941357,2.8188661778198703e-35,1.7422159015692253e-32
Gda,12.270644,4.6670074,1.3021303863014293e-34,7.830378674380217e-32
Ptgis,12.051377,5.474644,1.9073646384484665e-33,1.1168121896178522e-30
Dapk1,12.022007,2.4297297,2.722774053714114e-33,1.553377505003565e-30
Cd9,11.99105,3.9687948,3.9585844449233325e-33,2.2019625974886038e-30
F3,11.9216795,6.306708,9.125012667008787e-33,4.951988581486476e-30
Sgms1,11.870458,3.435416,1.6854248714294483e-32,8.92873890221553e-30
Emilin2,11.826867,5.160918,2.83526499015898e-32,1.4670847914194724e-29
Efnb2,11.735983,6.079603,8.335221134794692e-32,4.2149697783904976e-29
Cav1,11.731574,4.6764555,8.781013355634035e-32,4.3417232702857174e-29
Glb1,11.692088,2.872152,1.399043162674119e-31,6.76711094989112e-29
Plaur,11.688849,2.8054543,1.453421439813508e-31,6.88055894379799e-29
Il6,11.6278,10.328271,2.9766952792317666e-31,1.379822290893892e-28
Tlr2,11.566078,5.9394064,6.121773985334952e-31,2.7797851259939323e-28
Ddhd1,11.495682,3.2110817,1.3868125364528496e-30,6.17131578721518e-28
