dataset,treatment,cell_type,n_cells,mean_marco,pct_marco_positive,max_marco
GSE237862,DSS,B cell,5320,0.015703202077910577,1.0714285714285714,2.9748844906074465
GSE237862,DSS,Cx3cr1+ macrophage,2001,0.185854643820608,10.594702648675662,5.4309602066319105
GSE237862,DSS,Endothelial,185,0.012569355818718767,1.6216216216216217,1.3016150067583188
GSE237862,DSS,Enteric glia,2208,0.02898786667359366,1.6757246376811596,2.9963024531760145
GSE237862,DSS,Fibroblast,1842,0.011186831542714576,1.9001085776330078,1.1788800441652583
GSE237862,DSS,Lyve1+ macrophage,360,0.02000558307659076,1.3888888888888888,2.6285357743150506
GSE237862,DSS,Monocyte,1863,0.024283703029213264,2.254428341384863,2.277155113252243
GSE237862,DSS,Neutrophil,495,0.035216372258877186,2.6262626262626263,2.037171836956201
GSE237862,DSS,Smooth muscle,182,0.005614683581399383,1.098901098901099,0.5583757561343384
GSE237862,naive,B cell,61,0.0,0.0,0.0
GSE237862,naive,Cx3cr1+ macrophage,138,0.35850717176990976,15.217391304347828,3.8303916365228856
GSE237862,naive,Endothelial,306,0.005937083763950365,0.6535947712418301,0.9102732571345241
GSE237862,naive,Enteric glia,2378,0.004034089601704734,0.2943650126156434,2.8079754114663533
GSE237862,naive,Fibroblast,783,0.003253242420051362,0.6385696040868455,0.6271654225974522
GSE237862,naive,Lyve1+ macrophage,3981,0.011226268130142951,1.3313237879929667,2.301056521910102
GSE237862,naive,Monocyte,651,0.0009197651685874384,0.15360983102918588,0.5987671247504224
GSE237862,naive,Neutrophil,2,0.0,0.0,0.0
GSE237862,naive,Smooth muscle,137,0.003699688792630438,0.7299270072992701,0.50685736459037
