names,scores,logfoldchanges,pvals,pvals_adj
MARCO,15.814536,31.65603,2.470230284034698e-56,4.675404858592473e-52
S100A9,9.218851,3.3254042,3.0029994258487e-20,2.8418885066519177e-16
S100A6,8.630585,1.8355315,6.103927635774998e-18,3.850967945410446e-14
FCER1G,8.474361,1.3794768,2.3637173432956245e-17,8.947615631311256e-14
S100A4,8.399112,1.8877747,4.498686555617311e-17,1.2163805776881265e-13
FTH1,8.179656,1.1218383,2.8465501256011286e-16,6.203287275092282e-13
CD163,8.027725,2.0613248,9.929646857925337e-16,1.8793842607995284e-12
C5AR1,7.8569107,2.0761895,3.93723957153588e-15,6.0137751724604e-12
TIMP1,7.8543353,1.7626487,4.018974665349727e-15,6.0137751724604e-12
TSPO,7.850902,1.7209315,4.1305583157386374e-15,6.0137751724604e-12
SOD2,7.6955376,1.905513,1.4090039220561842e-14,1.9048726594826712e-11
EMP3,7.6509027,1.4876711,1.995733850342228e-14,2.5182169723618232e-11
SDCBP,7.630588,1.2794029,2.336854018664589e-14,2.7643522507040427e-11
FCN1,7.5633492,2.5838559,3.9282081458062026e-14,4.373482092686706e-11
SH3BGRL3,7.533879,1.058467,4.92548662116744e-14,4.906562383096639e-11
SRGN,7.37222,1.0415127,1.6781002217721227e-13,1.5880701448740482e-10
VCAN,7.2211475,2.4487178,5.155074207032937e-13,4.4350040689323823e-10
S100A8,7.098687,3.0229018,1.2594753552566136e-12,8.828922240348861e-10
SERPINA1,6.9464703,1.9885516,3.745388540189562e-12,2.5317488892917083e-09
S100A10,6.9218636,1.3334659,4.457398264516063e-12,2.9091440328446734e-09
CD55,6.8858123,1.6439421,5.745867567267092e-12,3.625067848188808e-09
MAFB,6.786814,1.4627743,1.1463670921579452e-11,6.9991257913785255e-09
VIM,6.565928,0.915506,5.1709806900407377e-11,2.965792470315183e-08
ACSL1,6.5530524,1.9138335,5.637269149553047e-11,3.138135093929133e-08
CTSB,6.469505,1.1921904,9.832456976105449e-11,5.1694142551874396e-08
TYROBP,6.4408927,0.89118904,1.187728557464858e-10,6.075713083010098e-08
MS4A4A,6.427445,1.6234343,1.2976659035518432e-10,6.463400672769931e-08
FPR1,6.3868155,1.915679,1.693756768386721e-10,8.21993188596294e-08
FCGR3A,6.3690763,2.245935,1.9017032674981011e-10,8.998384435984139e-08
IFITM2,6.226015,1.5039027,4.784482058795294e-10,2.1560926649242506e-07
C1orf162,6.1387477,1.1325742,8.317448618566736e-10,3.661031395432851e-07
APLP2,6.1164303,1.1831586,9.569471727508953e-10,4.116395258785499e-07
ANXA1,6.031452,1.1797302,1.624929369203892e-09,6.834452926871569e-07
S100A11,5.9599214,0.838129,2.5235905217671426e-09,1.016255272457164e-06
NEAT1,5.945329,1.1491876,2.7590158649290514e-09,1.0879144432398365e-06
CD14,5.821152,1.4428148,5.8443256651010925e-09,2.257460242109559e-06
THBS1,5.7232985,1.9809153,1.0447537433630456e-08,3.954810820126473e-06
RBMS1,5.6660743,1.5676475,1.4610623877073518e-08,5.42226035532099e-06
SLC11A1,5.6102805,2.013614,2.019989922839878e-08,7.352374859536611e-06
EREG,5.5461893,1.9523027,2.919630273031215e-08,1.0334207092775887e-05
KLF2,5.544472,1.4156463,2.9484185714053887e-08,1.0334207092775887e-05
IRAK3,5.4574914,1.5688175,4.829088200747413e-08,1.632145578134755e-05
RHOA,5.449194,0.70777875,5.0598667010869794e-08,1.6801420535346184e-05
CEBPB,5.405417,1.0831776,6.465775535971768e-08,2.0741988740565706e-05
CLEC4E,5.3470483,1.8953724,8.940021629655307e-08,2.7738981866309182e-05
CD44,5.306133,1.0843757,1.1197542387382671e-07,3.364061662952251e-05
C3AR1,5.292399,1.2728039,1.207222157551725e-07,3.570170902497109e-05
CD99,5.2652173,1.1169349,1.4002363431679628e-07,4.015495949566671e-05
