Cluster,n_cells,mean_expr,pct_positive,max_expr,dataset,Health,organ__ontology_label,Manually_curated_celltype,Flowcell,cell_annotation,disease__ontology_label,disease,microbe,dss_time_point,cell_type,region
Best4+ Enterocytes,3286,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Cycling TA,18204,0.0,0.016,1.0,SCP259_Epi,,,,,,,,,,,
Enterocyte Progenitors,9713,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Enterocytes,4517,0.0,0.044,1.0,SCP259_Epi,,,,,,,,,,,
Enteroendocrine,677,0.001,0.148,1.0,SCP259_Epi,,,,,,,,,,,
Goblet,2113,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Immature Enterocytes 1,7146,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Immature Enterocytes 2,9726,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Immature Goblet,9554,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
M cells,441,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Secretory TA,4882,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
Stem,2403,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
TA 1,33671,0.0,0.003,1.0,SCP259_Epi,,,,,,,,,,,
TA 2,15774,0.0,0.013,1.0,SCP259_Epi,,,,,,,,,,,
Tuft,899,0.0,0.0,0.0,SCP259_Epi,,,,,,,,,,,
,50258,0.0,0.0,0.0,SCP259_Epi,Healthy,,,,,,,,,,
,23044,0.0,0.022,1.0,SCP259_Epi,Inflamed,,,,,,,,,,
,49704,0.0,0.008,1.0,SCP259_Epi,Non-inflamed,,,,,,,,,,
CD4+ Activated Fos-hi,10406,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
CD4+ Activated Fos-lo,9421,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
CD4+ Memory,26809,0.0,0.004,1.0,SCP259_Imm,,,,,,,,,,,
CD4+ PD1+,417,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
CD69+ Mast,5654,0.0,0.018,1.0,SCP259_Imm,,,,,,,,,,,
CD69- Mast,143,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
CD8+ IELs,3576,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
CD8+ IL17+,490,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
CD8+ LP,14935,0.0,0.0,0.0,SCP259_Imm,,,,,,,,,,,
