Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),23/236,1.7797678046612633e-18,2.8227117381927636e-15,0,0,15.245550038842168,623.0863735354658,CCR1;CEBPB;ANXA1;SLC11A1;PTGER2;C5AR1;FPR1;CYBB;FPR2;CXCL3;CXCL2;THBS1;AIF1;CCL4;C3AR1;CCL3;NLRP3;CD14;FOLR2;S100A9;S100A8;CD44;TLR2,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),16/159,2.1841473984618871e-13,1.7320288869802762e-10,0,0,15.093399750933996,440.00853504076,SLC11A1;LY96;TNFAIP3;IRAK3;LILRB2;CXCL3;TNFRSF1B;CXCL2;RHOA;NLRP3;CARD16;CD14;VIM;CD68;S100A9;S100A8,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),13/117,1.1884162136396174e-11,6.2827603827747765e-09,0,0,16.55536912751678,416.46379500198634,LY96;TNFAIP3;LILRB2;CXCL3;TNFRSF1B;CXCL2;RHOA;NLRP3;CARD16;CD14;VIM;CD68;TLR2,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),13/124,2.508854372936849e-11,9.947607588694606e-09,0,0,15.505834693754156,378.4758686493355,LY96;TNFAIP3;LILRB2;CXCL3;TNFRSF1B;CXCL2;RHOA;CCL3;NLRP3;CARD16;CD14;VIM;CD68,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Phagocytosis (GO:0006909),10/69,2.0725645210769288e-10,6.574174660856019e-08,0,0,22.055084745762713,491.7636403008594,CDC42;MARCO;ITGAM;ANXA1;TYROBP;LRP1;SLC11A1;CD302;CD14;AIF1,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),10/73,3.6835965043316093e-10,9.530135982227529e-08,0,0,20.65058479532164,448.5712046561555,ANXA1;FCER1G;CCL4;CCL3;S100A12;CXCL3;CXCL2;TREM1;S100A9;S100A8,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),13/155,4.2062390842113926e-10,9.530135982227529e-08,0,0,12.101710936761508,261.2672502253343,LY96;FPR2;AIF1;THBS1;EREG;NFKBIA;NINJ1;CCL3;NLRP3;S100A12;S100A9;S100A8;TLR2,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),9/70,5.116798360427328e-09,1.0144052749547178e-06,0,0,19.071359691417552,364.0863104557437,FCER1G;CCL4;CCL3;S100A12;CXCL3;CXCL2;TREM1;S100A9;S100A8,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),9/77,1.2094472523046664e-08,2.13131482461689e-06,0,0,17.102076124567475,311.77969474023826,FCER1G;CCL4;CCL3;S100A12;CXCL3;CXCL2;TREM1;S100A9;S100A8,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),9/80,1.702971747635455e-08,2.7009131917498316e-06,0,0,16.376967688483845,292.9562082528839,IFITM3;IFITM2;KYNU;SLC11A1;CCL4;CCL3;GAPDH;AIF1;TLR2,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),8/60,2.787328311058302e-08,4.018820637580425e-06,0,0,19.766233766233768,343.84544078825843,SERPINB1;CSTA;SERPINA1;LRP1;TIMP2;TIMP1;GAPDH;CTSB,GO_Biological_Process_2023_upregulated
