names,scores,logfoldchanges,pvals,pvals_adj
MARCO,193.79535,32.5579,0.0,0.0
FBP1,125.140755,3.309687,0.0,0.0
OLR1,124.79863,4.2855053,0.0,0.0
CD81,123.708206,3.3113053,0.0,0.0
ACP5,123.51584,4.1430597,0.0,0.0
LGALS3,123.48842,2.0160635,0.0,0.0
MRC1,122.43299,4.0279946,0.0,0.0
FTL,121.22646,1.4033493,0.0,0.0
GPNMB,120.46214,4.5547624,0.0,0.0
CSTB,120.34343,1.9369891,0.0,0.0
VSIG4,118.60796,3.3025956,0.0,0.0
APOC1,118.05698,4.4204845,0.0,0.0
S100A11,115.87176,1.3715678,0.0,0.0
LMNA,113.178474,2.7948472,0.0,0.0
FTH1,112.0381,1.3750255,0.0,0.0
DAB2,111.55016,2.8833146,0.0,0.0
CXCL3,111.45432,3.526736,0.0,0.0
CYP27A1,110.29812,3.5294247,0.0,0.0
CD9,110.24938,3.3707578,0.0,0.0
CD68,109.90717,1.4611038,0.0,0.0
MSR1,109.34196,3.6353695,0.0,0.0
FABP5,109.10212,2.6236694,0.0,0.0
MMP19,107.89413,3.694338,0.0,0.0
FCGR3A,107.08204,2.501087,0.0,0.0
CTSL,106.96913,2.4472094,0.0,0.0
FN1,106.5704,3.9135034,0.0,0.0
SLCO2B1,106.53163,3.5117128,0.0,0.0
C1QB,106.077156,3.757844,0.0,0.0
RGCC,105.98889,2.602846,0.0,0.0
NUPR1,105.56381,4.51923,0.0,0.0
HLA-DRB1,105.29353,2.3165724,0.0,0.0
CRIP1,105.08498,2.2313383,0.0,0.0
GCHFR,104.89348,2.9999664,0.0,0.0
MGST3,104.67684,1.9175556,0.0,0.0
C1QA,104.67263,3.5042095,0.0,0.0
LPL,104.41593,4.406569,0.0,0.0
CTSC,104.045555,1.8811054,0.0,0.0
ANXA5,103.82523,1.2395368,0.0,0.0
PPARG,102.727394,3.2835655,0.0,0.0
TREM1,102.381134,2.2259228,0.0,0.0
ALDH2,102.30139,2.0503156,0.0,0.0
CD163,102.063675,1.9461601,0.0,0.0
GLUL,101.629524,1.5542152,0.0,0.0
APOE,101.59801,3.2959545,0.0,0.0
CCL18,101.58453,4.499127,0.0,0.0
MS4A7,101.01339,1.9238479,0.0,0.0
SERPING1,100.94716,4.1349096,0.0,0.0
C1QC,100.75026,3.1608438,0.0,0.0
ARHGAP18,100.489494,2.2490435,0.0,0.0
HEXB,99.620445,1.7971908,0.0,0.0
GPX4,99.36165,1.2882595,0.0,0.0
LY6E,99.026695,2.3972526,0.0,0.0
VAT1,98.905014,2.5421557,0.0,0.0
HLA-DRA,98.86608,2.05237,0.0,0.0
CTSD,97.52943,1.2832371,0.0,0.0
RMDN3,97.01627,3.2639108,0.0,0.0
IFI6,96.95397,2.4563527,0.0,0.0
UBB,96.67462,1.4441366,0.0,0.0
GRN,96.29042,1.1864125,0.0,0.0
ABCG1,96.18842,3.3564603,0.0,0.0
CXCL16,96.17545,1.8762071,0.0,0.0
NCEH1,95.95372,2.607418,0.0,0.0
GLDN,95.66353,4.4240503,0.0,0.0
RAB13,95.47642,2.0878327,0.0,0.0
YBX1,95.02864,1.0592344,0.0,0.0
TXN,94.669235,1.4878502,0.0,0.0
ENG,94.46717,2.3466618,0.0,0.0
VIM,94.05011,0.92795956,0.0,0.0
S100A13,93.89065,3.70637,0.0,0.0
AQP3,93.87134,4.572941,0.0,0.0
BHLHE41,93.79714,4.6303477,0.0,0.0
RHOB,93.62224,1.8700958,0.0,0.0
AC026369.3,93.60695,4.8200583,0.0,0.0
HLA-DPA1,93.03043,2.191176,0.0,0.0
