names,scores,logfoldchanges,pvals,pvals_adj
Marco,29.318636,32.824364,6.0027516188106175e-189,1.937988360133008e-184
Saa3,19.872778,109.97321,7.001855603061532e-88,1.1302745407242079e-83
S100a9,19.595076,46.839172,1.7033451703882427e-85,1.8330832941994805e-81
S100a8,18.254795,29.049734,1.895225844112954e-74,1.529684159429668e-70
Mmp10,18.00399,19.451044,1.81278032433747e-72,1.1705122554247043e-68
Il1b,17.992487,32.444126,2.2311669618039893e-72,1.2005537560306964e-68
Hp,17.978058,21.729193,2.894584769684026e-72,1.3350238469892684e-68
Tnfaip2,17.536478,8.398419,7.546216824548198e-69,3.045370127256732e-65
Cxcl10,17.487717,31.73515,1.7774004426703543e-68,6.375930365734709e-65
Srgn,17.437021,16.175674,4.320055301260616e-68,1.39472985401199e-64
Cebpb,17.025385,13.189314,5.32415670184065e-65,1.562639991990231e-61
Cxcl9,16.996672,20.241024,8.691664714499636e-65,2.3384199608968394e-61
Ifitm3,16.880007,32.587185,6.313838976368383e-64,1.568017625785025e-60
Lyz2,16.540867,24.525888,1.86319694499342e-61,4.2966652406508976e-58
Ifitm1,16.484789,19.415653,4.719444648708487e-61,1.01578180322369e-57
Igfbp5,16.348074,16.926105,4.4895143758892947e-60,9.058998226599118e-57
Igfbp4,16.240862,19.611248,2.5925742489306463e-59,4.923603507454466e-56
Socs3,16.134499,6.5670667,1.4598876995203396e-58,2.61847079883412e-55
Tyrobp,16.11556,10.100429,1.983542027056336e-58,3.370455491763884e-55
Sod3,16.056877,8.087631,5.1167010625854224e-58,8.259634690278518e-55
Lcn2,15.92025,18.697205,4.5853941502334574e-57,7.04949762572796e-54
Cemip,15.372249,9.234446,2.512923411759542e-53,3.687715106757128e-50
Gbp2,15.339146,9.030825,4.1866707024667895e-53,5.876811462136534e-50
Dcn,15.316931,22.606709,5.8935388546995915e-53,7.928037580165679e-50
Iigp1,15.211416,6.645042,2.970453738574931e-52,3.836043957995666e-49
Fxyd5,15.208256,5.098351,3.11740107893371e-52,3.870972839745186e-49
Il1rn,15.189757,8.216868,4.134459371453148e-52,4.943741511383884e-49
Cxcl5,15.181328,9.750038,4.701645408267758e-52,5.421165071640164e-49
Wfdc17,15.051696,9.092776,3.3649434631141267e-51,3.74611033471171e-48
Ccl2,14.904445,11.547109,3.0836633013199147e-50,3.3185356561037816e-47
Mmp13,14.889811,26.198,3.8385822142501717e-50,3.997697638292477e-47
Col12a1,14.820852,6.482793,1.0741234785404996e-49,1.083689890771251e-46
Stat1,14.611171,5.986183,2.3838726688111993e-48,2.33222209432029e-45
Fcer1g,14.594312,10.391212,3.0527902944603746e-48,2.8988039604898e-45
Plaur,14.583862,4.4480295,3.5580295094236986e-48,3.282028077478403e-45
Cd52,14.440035,6.331717,2.8969394487334486e-47,2.597991391732205e-44
Il11,14.376551,9.48767,7.262458232743508e-47,6.336985514706059e-44
Ctsc,14.349038,7.1119967,1.0802479673396526e-46,9.177843585673863e-44
Slpi,14.313594,16.151304,1.7996788908411476e-46,1.4898111023283706e-43
H2-Q7,14.305925,5.9958224,2.0094733099722755e-46,1.6218961453113728e-43
Cxcl16,14.221777,4.118742,6.7126268314855166e-46,5.285784323280729e-43
Timp3,14.143864,6.098544,2.0378233833326922e-45,1.5664554269260946e-42
