gene,mean_marco_spots,pct_marco_spots,mean_neighbors,pct_neighbors,mean_distant,pct_distant,log2fc_neighbor_vs_distant,pval,padj
Ifng,0.5937,22.5,0.3273,9.6,0.0237,2.3,3.321,8.48859230583741e-20,4.914962314860066e-18
Mmp13,18.7556,69.2,3.0158,42.7,0.3448,22.8,3.092,8.804371612664835e-36,2.518913454909659e-33
Il22,0.4,13.3,0.118,4.4,0.0068,0.5,2.931,1.0782532170690667e-15,3.846648579524389e-14
Il11,5.8762,61.0,1.146,31.9,0.1429,11.6,2.918,1.385256024690471e-44,9.187395752844848e-42
Cxcl10,23.5968,78.1,5.0134,48.1,0.6578,28.2,2.911,1.692821774891062e-34,4.186434324989065e-32
Il1a,1.7746,36.8,0.5742,15.9,0.0687,4.5,2.892,1.2847498927789113e-27,1.6737308647800977e-25
Cxcl1,4.0413,50.8,0.7092,26.2,0.0878,7.5,2.879,5.073874452017076e-47,4.3548765958459504e-44
Acod1,3.2984,50.5,0.9465,25.4,0.1221,8.0,2.856,1.2374022877535362e-41,4.8797126434086074e-39
Il1b,24.8476,83.2,6.6642,59.4,0.9801,36.3,2.753,2.555800302915077e-50,2.868590939987222e-47
Clec4e,2.9937,53.7,0.7616,24.0,0.1047,7.7,2.749,4.950115812101095e-38,1.641525904871979e-35
Cemip,5.7524,65.1,1.1545,33.6,0.1633,13.0,2.749,1.6865900307248786e-44,1.0699580494915958e-41
Mmp10,13.946,80.0,2.5876,50.4,0.3813,24.8,2.731,4.7482407199774045e-54,9.897368620741472e-51
Csf3,1.0889,34.6,0.2457,14.8,0.0288,2.6,2.719,4.420617594993778e-39,1.5357436030608146e-36
F10,0.9048,33.3,0.2543,13.1,0.0322,2.9,2.646,6.223977412614573e-29,9.764952088974112e-27
Ccl4,7.6952,64.8,2.4976,40.6,0.3944,20.6,2.632,1.5978495629427488e-35,4.483504417864932e-33
Cxcl2,5.6159,56.2,1.7871,33.0,0.293,16.3,2.568,4.5881548951673296e-29,7.276713921237663e-27
Cxcl3,2.0286,41.3,0.5,15.7,0.0827,4.9,2.46,1.4745022734506407e-24,1.3970430306440455e-22
Il6,0.8762,29.5,0.1983,9.5,0.028,2.4,2.455,2.384903867141924e-18,1.167722561257309e-16
Cxcl9,14.9048,76.8,3.1204,51.0,0.5619,28.8,2.452,4.5785977372559964e-43,2.303666192562146e-40
Saa3,83.4508,95.2,18.3017,85.3,3.3622,67.6,2.441,7.469185108251392e-68,3.6327626638165354e-64
Hp,16.6635,83.2,4.5219,56.9,0.8316,32.5,2.429,1.0036510793773355e-50,1.3312975362904277e-47
Lcn2,13.5778,73.3,2.6472,51.0,0.4919,25.6,2.404,2.7360541425095404e-56,6.6536276655594505e-53
U90926,0.5714,20.3,0.101,5.8,0.0115,1.1,2.371,2.9473919806756306e-15,9.685900087846424e-14
Retnlg,4.054,61.3,1.1375,34.8,0.212,13.4,2.37,9.820762348233798e-46,7.541828601214702e-43
Wfdc21,1.181,41.0,0.3455,16.8,0.0589,5.0,2.366,2.002161483423442e-27,2.4757235766636812e-25
Serpina3f,1.927,50.5,0.4659,21.0,0.0827,6.7,2.36,2.2843573638751313e-32,4.6945152530002876e-30
